NICKstateNAME                   2009/gbr/ukopen09.tou 20090109
CQUA GBR Chris Quartermaine     37 1802 20081101
JMCL GBR Jackie McLeod          25 1802 20080505
RBAK --- Rich Baker             24 1802 20031023
EBOR --- Emil Borboran          18 1802 19970526
LBIN --- Lois Binnie            14 1802 19991102
LCAP --- Leo Capuno            109 1801 20080606
JGON --- Jodi Gonzalez          86 1801 20051218
DCAL --- Debbie Caldwell        72 1799 20081130
ALAO --- Armando Lao            57 1799 19971127
ILAN --- Isaac Lango            24 1799 20011216
PRUS GBR Pauline Russell        13 1797 20080210
BLYN GBR Bob Lynn               38 1796 20090109
MBAK --- Michael Baker          24 1795 20071111
JHOL --- John Holgate          310 1794 20081130
RFUA --- Raja Fuadin            95 1793 20021222
JNEV --- Johnny Nevarez         36 1793 19951026
CKHO --- Charnrit Khongthan    117 1792 20081209
MEIC --- Maor Eichler           24 1791 20011216
SBRO --- Steven Brown           96 1790 20081130
GLAM --- Gwen Lampre             8 1789 19991102
TWOK NGA Timi Woko              14 1788 20081005
FWAC --- Francis Wachira       162 1787 20081010
DLLO --- David Lloyd            72 1787 20031023
RJUD --- Rodney Judd            32 1787 19991106
RNOR --- Rita Norr              36 1786 19951026
TTAN --- Teong-Chuan Tan        36 1786 19980920
MMAT --- Manabu Matsuda         24 1786 20071111
MREE --- Martin Reed            24 1786 20050226
JJON --- Jj Jonah               21 1786 19971127
ACHO --- Apirat Choomai        239 1785 20080629
PJOH MYS Pat John               33 1785 20081130
DBUA --- Daniel Buadu Akrong    24 1785 20041003
MMAR --- Mwaka Martin           42 1784 20030608
UGRO --- Udayan Grover         126 1783 20080113
NESS NGA Nduonyi Essang         14 1783 20081005
SSIM --- Sandie Simonis         27 1781 20040628
NESA --- Niyi Esan              24 1780 20000423
PBUR GBR Paul Burton            94 1779 20090109
PNAT --- Pasit Natearpha        42 1779 20071204
DOMU --- Dennis Omulo           24 1779 20021020
EBOA --- Edwin Boama            24 1779 19980412
SO'N --- Shane O'Neill          48 1778 20071111
MWAF TZA Mackton Wafula         48 1778 20081010
DSAL --- Dielle Saldanha        22 1774 20071130
ARIC --- Alastair Richards     398 1773 20090109
ATAN --- Alex Tan              349 1773 20080629
DFRA --- Darryl Francis        167 1773 20090109
LWAN --- Lakshan Wanni         222 1772 20071111
CMUS GBR Cecil Muscat          112 1772 20090109
GCHE --- Gan Cher Siong        236 1771 20070625
SCHU --- Scott Chung            71 1771 20081209
MO'R GBR Mike O'Rourke          68 1771 20080504
ATAN --- Austin Tan Kiat        44 1771 19990627
PSHA --- Peter Shaw             17 1771 20061129
VBER --- Victor Berdie          24 1770 20000423
GLOC --- Graeme Lock Lee        44 1768 20061129
MSTA --- Margaret Staunton      16 1768 20030630
PSOD --- Paul Sodje             38 1767 20081005
KSWA --- Kathy Swan             16 1767 20030630
MCHU --- Mohan Chunkath        285 1766 20080113
NSAL --- Norbert Saldanha       82 1766 19990815
RRIC --- Robert Richland        72 1766 20080910
JNAN --- Jim Nanavati           45 1766 19991106
NOGE --- Nerville Ogedegbe      38 1766 20081005
KBEN --- Khoo Beng Way         101 1765 20081209
SGIL --- Simon Gillam           12 1765 20061201
LPRA --- Linda Pray             59 1764 19991106
TLEA --- Tony Leah              84 1763 20071111
MDE  --- Margarida de Souza     24 1763 20011216
SATT --- Solomon Attachey       24 1763 19980412
MSHE --- Martin Sheehan         12 1762 20071203
JDEL --- Jojo Delia             66 1760 20080504
GNEW --- Geoffrey Newman        15 1760 20070708
KKIA --- Korakoch Kiatsommart   27 1759 20040628
LFAG --- Liz Fagerlund         257 1758 20081130
ISID --- Irfan Siddiqui        152 1758 20080606
CUME --- Cyril Umebiye          38 1758 20081005
JWID --- Jeff Widergren         18 1758 19951026
NROW GBR Neil Rowley            37 1757 20080111
MBRO --- Maurice Brown          34 1757 20080504
CDAV GBR Christo Davison        13 1757 20080210
APLO --- Amnuay Ploysangngam   462 1756 20081116
AGBO --- Alex Gboye Balogun    100 1755 20090109
RFIN --- Ros Finn               24 1754 19980412
NWAG --- Njihia Wagachiru       24 1752 20021020
SGOL --- Stu Goldman            55 1751 20081116
DLEB --- Denise Lebron          24 1751 19980412
OAKA IND Olobatoke Aka          99 1749 20081211
MREC --- Mario Recedes          24 1749 20031023
NGIL --- Neville Giloi          24 1749 19980412
DDEL --- David Delicata         90 1748 20080504
TJIN --- Tan Jin Chor          547 1747 20081211
IGON --- Irineu Gonsalves      135 1747 20080113
JSNG --- Joshua Sng             40 1747 20061201
BJAC --- Bob Jackman           551 1746 20081130
CITT --- Chollapat Itthiaree    88 1746 20081130
KPOK --- Kwame Poku             24 1746 20011216
ACLO --- Aaron Clottey          24 1745 20011216
RSHA --- Rocky Sharma            8 1745 20061128
PRAY --- Paloma Raychbart      151 1743 20081026
LCHA --- Leslie Charles         80 1743 20071111
MMCP --- Marcia McPhee          21 1743 20031228
ABYR GBR Amy Byrne              46 1742 20081130
PSCH --- Pat Schuberg           19 1742 20061129
CMCC GBR Celine McCart          13 1740 20080210
BAMU --- Benard Amuke          114 1739 20081010
KACH --- Kojo Acheampong        48 1739 20060924
BWIT --- Benjamin Withers       41 1739 20050703
SYEN --- Shim Yen Nee          244 1736 20081130
MMIR --- Mario Miranda         110 1736 20030629
CGUO --- Chia Guo Cong          75 1736 20081130
BMCD --- Brendan McDonnell      60 1734 20051119
JWAR --- Jim Warmington          8 1732 19991102
MMAN --- Maida Manaog          158 1731 20050626
BIDA NGA Bright Idahosa         14 1731 20081005
BKIN --- Borom Kinthong         80 1730 20080629
BKPE --- Bennet Kpentey        120 1729 20060924
TCHA --- Travis Chaney          41 1729 20081116
NDEC --- Noppadol Dechat        81 1728 20080629
JSEK USA James Sekyi            24 1728 20081116
ACHU --- Albert Chune           21 1728 19971127
VBOY MLT Vincent Boyle          18 1728 20080504
MZUC --- Maria Zucco             6 1728 19991031
IBON --- Irland Bonzon          18 1727 19970526
MTAN --- Michael Tang          586 1726 20080629
CPET --- Chatchawin Petchlert  161 1726 20060702
EMEG --- Eileen Meghen          64 1726 20080210
GSAN --- Gbade Sanda            24 1726 20000423
NFIN --- Nicole Findlay         14 1725 19991102
MAKO --- Michael Akonor         48 1724 20060924
DWET --- De Wet Du Preez        24 1724 19980412
FURE --- Frances Ure            12 1724 20051030
GOWE GBR Gwynfor Owen           12 1724 20081101
AHAM --- Andrew Hamblin         23 1722 19961125
CKEE --- Chris Keeley           34 1721 20080504
FTHE --- Francis Theuri         72 1720 20081010
SBUC GBR Siobhan Buckley        13 1720 20080210
NGRE --- Neil Green             36 1718 20061201
ARIV --- Ashby Rivera           26 1718 20020707
QSIM --- Quek Sim Ho           164 1716 20041219
BABD --- Banda Abdallah         24 1716 20000423
PFIE --- Pam Field              24 1716 19980412
